date,open,high,low,close,volume
2022-01-03,134.1,135.04,133.21,133.73,90361280
2022-01-04,134.2,134.82,133.07,133.44,72274915
2022-01-05,134.48,135.08,133.93,135.04,98028887
2022-01-06,139.07,139.52,138.84,138.84,151799009
2022-01-07,138.03,138.78,137.91,138.3,63747825
2022-01-10,137.55,138.03,137.24,137.76,80602156
2022-01-11,141.52,142.4,141.03,141.77,157474774
2022-01-12,143.41,144.24,142.73,143.78,104657070
2022-01-13,142.64,143.39,142.55,142.62,97584005
2022-01-14,143.7,144.45,142.64,144.06,105876483
2022-01-17,143.02,143.96,142.09,142.91,79104329
2022-01-18,141.73,141.9,141.6,141.76,85994797
2022-01-19,142.32,143.9,141.81,142.42,75088710
2022-01-20,137.26,138.11,135.98,137.64,167087749
2022-01-21,133.24,134.63,133.18,133.47,170506115
2022-01-24,132.47,132.6,132.09,132.17,96049780
2022-01-25,130.01,130.44,128.83,129.82,121165255
2022-01-26,130.21,130.91,129.8,130.59,69331199
2022-01-27,128.55,128.76,127.86,128.51,122390716
2022-01-28,125.61,125.87,124.16,125.33,136137243
2022-01-31,128.07,129.05,127.29,128.71,151471440
2022-02-01,128.44,128.81,127.86,128.23,80638264
2022-02-02,128.17,128.44,128.02,128.43,82184376
2022-02-03,125.43,126.77,124.61,125.21,136290083
2022-02-04,123.74,125.1,123.51,124.03,72423718
2022-02-07,123.64,124.58,122.97,124.31,75243383
2022-02-08,121.21,121.82,120.06,121.8,145560723
2022-02-09,122.68,122.75,121.72,122.66,98776357
2022-02-10,121.48,121.85,121.08,121.38,101463680
2022-02-11,120.45,121.4,119.78,120.78,78243454
2022-02-14,119.75,119.9,119.43,119.52,106304257
2022-02-15,122.99,124.64,121.9,123.61,165241486
2022-02-16,123.59,123.86,123.39,123.61,70491520
2022-02-17,120.88,121.71,120.79,121.32,129883284
2022-02-18,122.92,123.46,122.64,123.16,122816739
2022-02-21,120.54,121.49,119.56,120.52,157215368
2022-02-22,120.7,121.76,120.39,121.01,82494552
2022-02-23,116.72,117.71,116.41,116.85,173179488
2022-02-24,114.47,114.6,113.46,114.13,141052010
2022-02-25,114.37,115.17,112.73,114.57,64518483
2022-02-28,116.43,117.41,116.12,116.14,103984890
2022-03-01,116.13,116.8,115.11,116.53,73943732
2022-03-02,116.51,117.13,115.36,116.32,67949244
2022-03-03,116.23,116.25,115.46,115.73,83931749
2022-03-04,111.89,112.82,111.55,112.72,143246393
2022-03-07,111.04,111.8,110.78,111.3,115549365
2022-03-08,110.61,110.97,109.87,110.42,91808066
2022-03-09,112.5,113.46,112.34,112.57,127631564
2022-03-10,113.43,114.27,112.87,113.31,84413084
2022-03-11,109.6,110.56,108.93,109.8,167284814
2022-03-14,110.5,110.85,110.42,110.48,92523572
2022-03-15,109.69,109.96,109.58,109.74,80562648
2022-03-16,108.83,109.1,107.97,108.45,98869622
2022-03-17,109.77,109.91,109.23,109.68,99885740
2022-03-18,111.88,112.19,111.64,111.77,115450005
2022-03-21,113.55,114.08,113.34,113.69,113978903
2022-03-22,111.86,112.04,111.35,112.02,109575631
2022-03-23,111.29,112.09,110.84,111.43,90170218
2022-03-24,112.27,112.57,111.3,112.13,88432506
2022-03-25,114.01,114.37,113.86,114.15,124604791
2022-03-28,113.31,113.74,113.2,113.21,99670115
2022-03-29,113.57,115.18,112.44,112.86,75033587
2022-03-30,110.96,111.6,109.33,110.67,131734812
2022-03-31,108.24,109.29,107.76,108.35,132908003
2022-04-01,110.37,110.57,109.57,109.98,115886870
2022-04-04,112.59,113.36,112.43,112.73,140093612
2022-04-05,111.93,113.35,111.89,112.62,50144039
2022-04-06,114.36,115.37,114.06,114.7,123577141
2022-04-07,114.84,115.76,113.94,115.49,99445238
2022-04-08,114.07,114.39,113.77,114.19,109731549
2022-04-11,114.97,115.0,114.51,114.97,95772729
2022-04-12,118.82,119.11,117.49,118.23,165007130
2022-04-13,118.31,118.35,118.02,118.19,68301344
2022-04-14,121.52,122.38,120.7,121.6,158213214
2022-04-15,116.32,116.9,115.77,116.04,209934255
2022-04-18,117.02,118.09,117.0,117.8,111769859
2022-04-19,118.1,119.02,117.07,118.02,77337852
2022-04-20,117.69,117.95,116.74,117.42,92224494
2022-04-21,117.13,118.53,116.7,117.65,71564794
2022-04-22,113.94,114.43,113.09,113.55,175239914
2022-04-25,113.25,113.45,113.02,113.14,78075521
2022-04-26,113.76,114.1,113.11,113.9,92615070
2022-04-27,117.23,117.42,116.41,117.01,140139122
2022-04-28,116.74,117.96,115.92,115.95,76721954
2022-04-29,114.38,114.59,114.07,114.31,107229840
2022-05-02,113.4,113.65,112.93,113.32,84384452
2022-05-03,115.08,115.83,114.98,115.24,115562799
2022-05-04,115.66,116.09,115.45,115.96,85006570
2022-05-05,115.18,115.33,114.41,114.89,92120344
2022-05-06,115.69,116.1,115.64,115.99,108325983
2022-05-09,116.25,116.3,115.61,116.23,75597378
2022-05-10,118.14,118.33,116.41,118.31,125066559
2022-05-11,117.03,117.45,116.6,116.86,110544683
2022-05-12,116.32,116.35,115.68,116.21,75116077
2022-05-13,115.78,116.21,114.06,115.42,96213059
2022-05-16,112.28,112.5,111.72,112.46,148364237
2022-05-17,113.0,113.14,112.65,113.09,89692700
2022-05-18,113.32,114.79,112.16,113.66,73755292
2022-05-19,113.55,114.22,113.54,113.7,55311396
2022-05-20,113.39,113.58,112.84,113.26,85464583
2022-05-23,110.69,111.24,110.34,110.44,149237408
2022-05-24,109.34,111.23,108.59,109.64,82310370
2022-05-25,109.28,110.42,108.65,109.0,78127422
2022-05-26,107.91,107.98,107.04,107.47,120283282
2022-05-27,107.32,107.92,106.93,107.19,65227990
2022-05-30,108.61,109.18,107.49,108.0,103622282
2022-05-31,111.51,112.11,111.44,111.77,167757630
2022-06-01,111.73,112.74,110.83,112.15,82508070
2022-06-02,112.11,113.06,111.93,112.71,79501424
2022-06-03,113.1,114.18,112.45,112.59,74618916
2022-06-06,109.01,109.12,108.64,108.8,170567047
2022-06-07,108.76,108.9,107.91,108.78,65758947
2022-06-08,109.02,109.5,108.45,108.93,71210475
2022-06-09,113.52,114.19,113.48,113.91,199837300
2022-06-10,114.38,114.46,113.44,113.55,82441169
2022-06-13,114.24,114.45,112.37,114.2,80532489
2022-06-14,114.2,115.57,113.99,114.16,65699771
2022-06-15,112.06,112.09,111.4,111.82,124209853
2022-06-16,114.34,114.46,113.93,114.18,112092231
2022-06-17,115.84,116.45,115.1,115.77,108781960
2022-06-20,112.59,113.48,112.52,112.86,166428769
2022-06-21,106.85,107.49,105.94,106.7,250328585
2022-06-22,105.77,106.1,104.69,105.17,112103307
2022-06-23,98.96,99.52,98.23,98.56,270019050
2022-06-24,96.19,96.97,94.83,95.73,158945539
2022-06-27,99.46,100.18,98.92,99.61,196682923
2022-06-28,97.59,98.03,97.37,97.88,112564068
2022-06-29,96.88,97.28,96.26,96.91,106743544
2022-06-30,97.13,97.17,97.09,97.12,78853178
2022-07-01,96.59,96.75,95.86,96.27,99993598
2022-07-04,93.17,93.8,92.95,93.65,157445621
2022-07-05,94.22,94.42,93.4,93.79,71515022
2022-07-06,92.0,92.79,91.7,92.04,131484201
2022-07-07,92.74,93.07,92.26,92.86,99179281
2022-07-08,91.09,91.47,90.93,91.36,115124855
2022-07-11,93.51,94.43,93.32,93.98,151207446
2022-07-12,92.92,93.47,92.25,92.69,111010288
2022-07-13,92.2,92.77,91.98,92.18,96299667
2022-07-14,93.21,93.85,92.24,93.57,103907624
2022-07-15,91.19,91.87,90.7,91.54,123969063
2022-07-18,91.86,92.08,91.84,91.95,81733303
2022-07-19,94.64,95.29,93.5,94.17,142364238
2022-07-20,91.44,91.58,91.4,91.51,158563277
2022-07-21,91.43,91.9,91.22,91.84,79925755
2022-07-22,92.23,92.38,91.74,92.3,80477701
2022-07-25,93.56,93.64,93.36,93.63,123932811
2022-07-26,90.86,92.1,90.77,91.6,123248958
2022-07-27,89.46,90.12,89.02,89.48,134188050
2022-07-28,90.28,91.07,89.75,90.35,96374631
2022-07-29,91.05,91.43,89.68,90.86,71232615
2022-08-01,91.8,92.26,91.03,91.3,80321257
2022-08-02,92.21,93.2,91.75,91.89,100489309
2022-08-03,90.73,91.09,90.64,90.8,104478501
2022-08-04,90.91,91.82,90.75,91.21,82534067
2022-08-05,92.43,93.19,91.57,91.72,74073812
2022-08-08,90.59,91.05,90.44,90.58,101337139
2022-08-09,93.7,94.03,93.62,93.7,170797576
2022-08-10,94.52,95.59,93.9,94.53,91916755
2022-08-11,92.61,93.06,92.09,92.55,143707449
2022-08-12,93.64,93.83,93.11,93.68,109335084
2022-08-15,91.92,93.23,91.32,92.08,112215191
2022-08-16,93.27,94.49,93.21,93.42,114285860
2022-08-17,95.41,96.08,94.4,95.42,137475721
2022-08-18,93.89,94.82,93.61,94.05,121450084
2022-08-19,95.52,96.21,94.9,95.72,135006764
2022-08-22,96.49,97.67,96.45,96.46,82857759
2022-08-23,97.86,98.61,97.37,97.93,107820569
2022-08-24,101.82,102.11,101.11,101.36,165506577
2022-08-25,100.14,101.25,99.72,100.95,77664963
2022-08-26,99.94,100.37,99.34,99.62,112243828
2022-08-29,98.43,98.8,97.95,98.06,124150998
2022-08-30,96.06,96.8,95.89,96.66,111443578
2022-08-31,96.46,96.61,96.27,96.56,67386017
2022-09-01,97.07,97.21,96.63,97.18,88109726
2022-09-02,97.28,98.06,96.5,97.7,76540232
2022-09-05,98.96,99.33,98.8,99.19,131315754
2022-09-06,98.91,100.08,98.31,99.24,55329819
2022-09-07,102.44,102.49,101.13,101.91,151779367
2022-09-08,101.74,102.24,100.95,101.45,96824289
2022-09-09,106.98,107.57,106.34,106.57,222554041
2022-09-12,108.05,108.14,107.6,107.81,101592726
2022-09-13,105.84,106.93,105.82,106.2,111548417
2022-09-14,104.03,104.68,103.56,104.2,125147738
2022-09-15,105.29,106.12,104.97,105.14,105933715
2022-09-16,104.36,105.27,103.75,104.75,60592483
2022-09-19,106.36,106.86,105.51,106.14,120415497
2022-09-20,107.0,107.6,106.75,107.08,83032887
2022-09-21,106.85,107.09,106.74,106.97,67568029
2022-09-22,105.61,105.9,105.23,105.38,110383286
2022-09-23,102.71,103.21,102.44,102.58,156604717
2022-09-26,101.68,101.84,101.38,101.79,78216357
2022-09-27,103.76,104.45,103.15,103.4,119962112
